monitor,wind_source,n_minutes,period,plant,plant_pct,not_plant,cone,cone_pct,freeway_ese,freeway_ese_pct,freeway_610N,freeway_610N_pct,plant_and_610N
lipp,metro,186669,2026-03-21 .. 2026-09-10,149187,79.9,37482,93660,50.2,,,,,
lipp,rooftop,149408,2025-10-25 .. 2026-03-24,78886,52.8,70522,46765,31.3,,,,,
metro,metro,187024,2026-03-21 .. 2026-09-10,31428,16.8,155596,10143,5.4,33144.0,17.7,18673.0,10.0,16167.0
metro,rooftop,73978,2025-09-29 .. 2026-03-24,16609,22.5,57369,2871,3.9,27919.0,37.7,20793.0,28.1,10926.0
