timestamp,timestamp_local,sample_rh,sample_temp,pm1,pm25,pm10
2025-12-01T00:00:18Z,2025-11-30T18:00:18Z,67.8,12.8,4.837,5.423,9.508
2025-12-01T00:01:18Z,2025-11-30T18:01:18Z,68.0,12.8,5.141,5.443,7.397
2025-12-01T00:02:18Z,2025-11-30T18:02:18Z,67.1,12.8,4.984,5.384,6.306
2025-12-01T00:03:18Z,2025-11-30T18:03:18Z,66.5,12.8,4.986,5.568,15.487
2025-12-01T00:04:18Z,2025-11-30T18:04:18Z,66.8,12.8,5.099,5.533,13.84
2025-12-01T00:05:18Z,2025-11-30T18:05:18Z,67.2,12.8,5.039,5.436,19.074
2025-12-01T00:06:18Z,2025-11-30T18:06:18Z,66.4,12.8,4.813,5.24,8.072
2025-12-01T00:07:18Z,2025-11-30T18:07:18Z,66.4,12.8,4.736,5.139,5.338
2025-12-01T00:08:18Z,2025-11-30T18:08:18Z,65.7,12.8,4.858,5.463,7.037
2025-12-01T00:09:18Z,2025-11-30T18:09:18Z,66.3,12.8,4.993,5.509,6.827
2025-12-01T00:10:18Z,2025-11-30T18:10:18Z,66.4,12.8,5.08,5.699,11.442
2025-12-01T00:11:18Z,2025-11-30T18:11:18Z,66.1,12.8,4.54,4.95,20.565
2025-12-01T00:12:18Z,2025-11-30T18:12:18Z,66.7,12.8,4.453,4.97,7.305
2025-12-01T00:13:18Z,2025-11-30T18:13:18Z,66.6,12.8,4.752,5.275,10.808
2025-12-01T00:14:18Z,2025-11-30T18:14:18Z,67.0,12.8,4.664,5.065,9.771
2025-12-01T00:15:18Z,2025-11-30T18:15:18Z,66.5,12.8,4.514,5.007,11.359
2025-12-01T00:16:18Z,2025-11-30T18:16:18Z,66.0,12.8,4.553,5.179,15.388
2025-12-01T00:17:18Z,2025-11-30T18:17:18Z,65.2,12.8,4.32,4.603,10.817
2025-12-01T00:18:19Z,2025-11-30T18:18:19Z,65.3,12.8,4.691,5.264,6.131
2025-12-01T00:19:19Z,2025-11-30T18:19:19Z,65.2,12.8,4.642,5.21,11.395
2025-12-01T00:20:19Z,2025-11-30T18:20:19Z,65.3,12.8,4.557,4.915,8.881
2025-12-01T00:21:19Z,2025-11-30T18:21:19Z,66.2,12.8,4.511,5.159,11.425
2025-12-01T00:22:19Z,2025-11-30T18:22:19Z,66.1,12.8,4.92,5.525,9.682
2025-12-01T00:23:19Z,2025-11-30T18:23:19Z,66.4,12.8,4.626,5.105,7.548
2025-12-01T00:24:19Z,2025-11-30T18:24:19Z,65.8,12.8,4.868,5.484,13.66
2025-12-01T00:25:19Z,2025-11-30T18:25:19Z,66.0,12.8,4.579,5.259,15.522
2025-12-01T00:26:19Z,2025-11-30T18:26:19Z,67.5,12.8,4.797,5.299,10.429
2025-12-01T00:27:19Z,2025-11-30T18:27:19Z,66.0,12.8,4.501,5.004,11.479
2025-12-01T00:28:19Z,2025-11-30T18:28:19Z,66.3,12.8,4.692,5.124,8.641
2025-12-01T00:29:19Z,2025-11-30T18:29:19Z,65.8,12.8,4.72,5.374,8.124
2025-12-01T00:30:19Z,2025-11-30T18:30:19Z,66.9,12.8,4.526,5.107,11.612
