timestamp,timestamp_local,sample_rh,sample_temp,pm1,pm25,pm10
2025-10-25T13:02:44Z,2025-10-25T09:02:44Z,49.3,25.0,0.812,1.096,1.773
2025-10-25T13:03:44Z,2025-10-25T09:03:44Z,49.2,25.0,0.872,1.142,4.029
2025-10-25T13:04:44Z,2025-10-25T09:04:44Z,49.1,25.1,0.859,1.135,3.154
2025-10-25T13:05:44Z,2025-10-25T09:05:44Z,49.1,25.1,0.801,0.97,4.453
2025-10-25T13:06:45Z,2025-10-25T09:06:45Z,49.1,25.1,0.913,1.21,3.409
2025-10-25T13:07:45Z,2025-10-25T09:07:45Z,49.1,25.1,0.819,1.067,1.19
2025-10-25T13:08:45Z,2025-10-25T09:08:45Z,49.1,25.1,0.907,1.152,2.213
2025-10-25T13:09:45Z,2025-10-25T09:09:45Z,49.0,25.1,0.779,1.084,2.001
2025-10-25T13:10:45Z,2025-10-25T09:10:45Z,49.1,25.2,0.897,1.085,3.25
2025-10-25T13:11:45Z,2025-10-25T09:11:45Z,49.1,25.2,0.938,1.155,3.506
2025-10-25T13:12:45Z,2025-10-25T09:12:45Z,49.6,25.2,0.824,1.092,8.249
2025-10-25T13:13:45Z,2025-10-25T09:13:45Z,50.0,25.2,1.07,1.368,6.506
2025-10-25T13:14:45Z,2025-10-25T09:14:45Z,49.6,25.2,1.035,1.276,22.464
2025-10-25T13:15:45Z,2025-10-25T09:15:45Z,49.1,25.2,1.004,1.291,3.957
2025-10-25T13:16:45Z,2025-10-25T09:16:45Z,48.9,25.3,0.81,1.155,21.833
2025-10-25T13:17:45Z,2025-10-25T09:17:45Z,48.9,25.3,0.739,1.202,1.739
2025-10-25T13:18:45Z,2025-10-25T09:18:45Z,48.8,25.3,0.737,0.975,10.665
2025-10-25T13:19:45Z,2025-10-25T09:19:45Z,48.9,25.4,0.896,1.111,9.45
2025-10-25T13:20:45Z,2025-10-25T09:20:45Z,48.8,25.4,0.784,1.057,2.085
2025-10-25T13:21:45Z,2025-10-25T09:21:45Z,48.9,25.4,0.769,1.008,3.706
2025-10-25T13:22:45Z,2025-10-25T09:22:45Z,48.6,25.4,0.756,1.037,1.297
2025-10-25T13:23:45Z,2025-10-25T09:23:45Z,49.7,25.4,0.869,1.209,6.312
2025-10-25T13:24:45Z,2025-10-25T09:24:45Z,52.4,25.4,0.891,1.214,4.826
2025-10-25T13:25:46Z,2025-10-25T09:25:46Z,51.6,25.4,0.984,1.231,1.504
2025-10-25T13:26:46Z,2025-10-25T09:26:46Z,49.0,25.4,1.147,1.393,2.079
2025-10-25T13:27:46Z,2025-10-25T09:27:46Z,48.7,25.5,0.789,1.022,6.682
2025-10-25T13:28:46Z,2025-10-25T09:28:46Z,48.6,25.5,0.856,1.095,6.954
2025-10-25T13:29:46Z,2025-10-25T09:29:46Z,48.6,25.5,0.871,1.097,4.061
2025-10-25T13:30:46Z,2025-10-25T09:30:46Z,48.5,25.5,0.829,1.142,3.31
2025-10-25T13:31:46Z,2025-10-25T09:31:46Z,48.5,25.5,0.713,1.093,5.036
2025-10-25T13:32:46Z,2025-10-25T09:32:46Z,48.5,25.6,0.827,1.077,3.943
2025-10-25T13:33:46Z,2025-10-25T09:33:46Z,48.6,25.6,0.78,1.049,4.103
2025-10-25T13:34:46Z,2025-10-25T09:34:46Z,48.5,25.6,0.918,1.156,2.357
2025-10-25T13:35:46Z,2025-10-25T09:35:46Z,48.5,25.6,0.778,1.015,14.022
2025-10-25T13:36:46Z,2025-10-25T09:36:46Z,48.5,25.6,0.633,0.995,1.738
2025-10-25T13:37:46Z,2025-10-25T09:37:46Z,48.8,25.6,0.828,1.098,1.696
2025-10-25T13:38:46Z,2025-10-25T09:38:46Z,48.5,25.6,0.734,0.943,2.622
2025-10-25T13:39:46Z,2025-10-25T09:39:46Z,48.5,25.6,0.8,0.963,15.932
2025-10-25T13:40:46Z,2025-10-25T09:40:46Z,48.4,25.7,0.923,1.114,11.171
2025-10-25T13:41:46Z,2025-10-25T09:41:46Z,48.6,25.7,0.797,1.449,4.706
2025-10-25T13:42:46Z,2025-10-25T09:42:46Z,48.3,25.7,0.899,2.148,12.557
2025-10-25T13:43:46Z,2025-10-25T09:43:46Z,47.8,25.7,0.992,2.835,28.896
2025-10-25T13:44:47Z,2025-10-25T09:44:47Z,47.4,25.7,0.888,2.234,20.195
2025-10-25T13:45:47Z,2025-10-25T09:45:47Z,46.9,25.7,0.858,1.786,25.618
2025-10-25T13:46:47Z,2025-10-25T09:46:47Z,46.5,25.6,0.809,1.747,4.527
2025-10-25T13:47:47Z,2025-10-25T08:47:47Z,46.1,25.6,0.815,1.615,6.645
2025-10-25T13:48:47Z,2025-10-25T08:48:47Z,45.6,25.6,0.848,1.66,16.592
2025-10-25T13:49:47Z,2025-10-25T08:49:47Z,45.3,25.6,0.902,1.531,4.722
2025-10-25T13:50:47Z,2025-10-25T08:50:47Z,45.0,25.6,0.893,1.447,2.884
2025-10-25T13:51:47Z,2025-10-25T08:51:47Z,44.8,25.6,0.75,1.448,2.387
2025-10-25T13:52:47Z,2025-10-25T08:52:47Z,44.4,25.5,0.898,1.369,2.717
2025-10-25T13:53:47Z,2025-10-25T08:53:47Z,44.2,25.5,0.845,1.378,11.562
2025-10-25T13:54:47Z,2025-10-25T08:54:47Z,44.0,25.5,0.828,1.464,3.812
2025-10-25T13:55:47Z,2025-10-25T08:55:47Z,43.8,25.5,0.728,1.29,5.432
2025-10-25T13:56:47Z,2025-10-25T08:56:47Z,43.5,25.4,0.745,1.19,2.183
2025-10-25T13:57:47Z,2025-10-25T08:57:47Z,43.3,25.4,0.804,1.236,2.034
2025-10-25T13:58:47Z,2025-10-25T08:58:47Z,43.1,25.4,0.861,1.456,2.964
2025-10-25T13:59:47Z,2025-10-25T08:59:47Z,42.8,25.4,0.717,1.23,11.639
2025-10-25T14:00:47Z,2025-10-25T09:00:47Z,42.7,25.3,0.775,1.29,7.1
2025-10-25T14:01:47Z,2025-10-25T09:01:47Z,42.6,25.3,0.768,1.205,2.17
2025-10-25T14:02:47Z,2025-10-25T09:02:47Z,42.5,25.3,0.616,0.965,2.197
2025-10-25T14:03:48Z,2025-10-25T09:03:48Z,42.4,25.3,0.722,1.126,1.43
2025-10-25T14:04:48Z,2025-10-25T09:04:48Z,42.4,25.2,0.796,1.293,1.576
2025-10-25T14:05:48Z,2025-10-25T09:05:48Z,42.2,25.2,0.775,1.274,1.91
2025-10-25T14:06:48Z,2025-10-25T09:06:48Z,42.2,25.2,0.681,1.213,1.344
2025-10-25T14:07:48Z,2025-10-25T09:07:48Z,42.2,25.2,0.798,1.299,1.87
2025-10-25T14:08:48Z,2025-10-25T09:08:48Z,42.8,25.1,0.815,1.43,4.749
2025-10-25T14:09:48Z,2025-10-25T09:09:48Z,42.5,25.1,0.861,1.552,5.517
2025-10-25T14:10:48Z,2025-10-25T09:10:48Z,42.4,25.1,0.954,1.644,3.911
2025-10-25T14:11:48Z,2025-10-25T09:11:48Z,42.5,25.1,0.843,1.532,1.887
2025-10-25T14:12:48Z,2025-10-25T09:12:48Z,42.9,25.0,0.84,1.633,2.503
2025-10-25T14:13:48Z,2025-10-25T09:13:48Z,42.7,25.0,0.822,1.52,4.626
2025-10-25T14:14:48Z,2025-10-25T09:14:48Z,42.6,25.0,0.728,1.473,2.578
2025-10-25T14:15:48Z,2025-10-25T09:15:48Z,42.6,25.0,0.94,1.56,12.311
2025-10-25T14:16:48Z,2025-10-25T09:16:48Z,42.4,25.0,0.981,2.059,4.452
2025-10-25T14:17:48Z,2025-10-25T09:17:48Z,42.4,24.9,0.838,1.689,2.715
2025-10-25T14:18:48Z,2025-10-25T09:18:48Z,42.3,24.9,0.811,1.727,3.915
2025-10-25T14:19:48Z,2025-10-25T09:19:48Z,42.2,24.9,0.98,2.061,2.408
2025-10-25T14:20:48Z,2025-10-25T09:20:48Z,42.2,24.9,0.797,1.804,5.912
2025-10-25T14:21:48Z,2025-10-25T09:21:48Z,42.5,24.9,0.844,1.975,3.175
2025-10-25T14:22:48Z,2025-10-25T09:22:48Z,44.8,24.8,0.777,1.762,2.169
2025-10-25T14:23:48Z,2025-10-25T09:23:48Z,43.2,24.8,0.894,2.08,3.407
2025-10-25T14:24:48Z,2025-10-25T09:24:48Z,42.7,24.8,0.89,1.954,2.523
2025-10-25T14:25:48Z,2025-10-25T09:25:48Z,42.6,24.8,0.851,1.852,20.153
2025-10-25T14:26:49Z,2025-10-25T09:26:49Z,42.8,24.8,0.923,2.126,3.912
2025-10-25T14:27:49Z,2025-10-25T09:27:49Z,43.0,24.8,0.913,2.228,5.768
2025-10-25T14:28:49Z,2025-10-25T09:28:49Z,43.2,24.9,0.993,2.314,7.821
2025-10-25T14:29:44Z,2025-10-25T09:29:44Z,43.4,24.9,0.784,1.881,10.515
2025-10-25T14:30:44Z,2025-10-25T09:30:44Z,43.7,24.9,0.924,1.784,3.654
2025-10-25T14:31:44Z,2025-10-25T09:31:44Z,43.8,24.9,0.926,1.846,22.846
2025-10-25T14:32:44Z,2025-10-25T09:32:44Z,44.2,24.9,0.802,1.812,5.543
2025-10-25T14:33:44Z,2025-10-25T09:33:44Z,44.3,24.9,0.863,1.898,36.318
2025-10-25T14:34:44Z,2025-10-25T09:34:44Z,44.3,24.9,0.777,1.833,4.553
2025-10-25T14:35:44Z,2025-10-25T09:35:44Z,44.4,24.9,0.813,1.709,23.792
2025-10-25T14:36:44Z,2025-10-25T09:36:44Z,44.5,24.9,0.848,1.907,15.445
2025-10-25T14:37:44Z,2025-10-25T09:37:44Z,44.6,24.9,1.112,2.256,4.027
2025-10-25T14:38:44Z,2025-10-25T09:38:44Z,44.7,24.9,0.987,1.857,18.432
2025-10-25T14:39:44Z,2025-10-25T09:39:44Z,44.7,25.0,0.906,2.172,13.605
2025-10-25T14:40:44Z,2025-10-25T09:40:44Z,44.7,25.0,0.881,1.959,10.496
2025-10-25T14:41:44Z,2025-10-25T09:41:44Z,44.7,25.0,0.852,2.141,5.152
2025-10-25T14:42:44Z,2025-10-25T09:42:44Z,44.8,25.0,0.917,2.031,20.654
2025-10-25T14:43:44Z,2025-10-25T09:43:44Z,44.9,25.0,0.83,2.282,14.589
2025-10-25T14:44:44Z,2025-10-25T09:44:44Z,44.8,25.0,0.898,1.829,12.758
2025-10-25T14:45:44Z,2025-10-25T09:45:44Z,44.9,25.0,1.119,2.421,8.661
