timestamp,timestamp_local,sample_rh,sample_temp,pm1,pm25,pm10
2026-05-01T00:00:18Z,2026-04-30T19:00:18Z,63.7,27.6,4.119,4.76,20.834
2026-05-01T00:01:18Z,2026-04-30T19:01:18Z,63.3,27.6,4.273,5.092,10.838
2026-05-01T00:02:18Z,2026-04-30T19:02:18Z,63.3,27.5,4.566,5.223,6.47
2026-05-01T00:03:18Z,2026-04-30T19:03:18Z,63.5,27.5,4.082,4.542,20.46
2026-05-01T00:04:18Z,2026-04-30T19:04:18Z,63.5,27.5,4.532,5.179,21.63
2026-05-01T00:05:18Z,2026-04-30T19:05:18Z,63.5,27.4,4.254,4.658,10.14
2026-05-01T00:06:18Z,2026-04-30T19:06:18Z,63.5,27.4,4.669,5.163,13.017
2026-05-01T00:07:18Z,2026-04-30T19:07:18Z,63.1,27.4,4.416,4.857,10.628
2026-05-01T00:08:18Z,2026-04-30T19:08:18Z,63.1,27.3,4.364,4.928,20.68
2026-05-01T00:09:18Z,2026-04-30T19:09:18Z,63.3,27.3,4.078,4.62,8.338
2026-05-01T00:10:18Z,2026-04-30T19:10:18Z,63.2,27.2,4.366,4.893,10.346
2026-05-01T00:11:18Z,2026-04-30T19:11:18Z,63.3,27.2,4.581,4.995,7.062
2026-05-01T00:12:18Z,2026-04-30T19:12:18Z,63.6,27.1,4.549,5.071,14.4
2026-05-01T00:13:18Z,2026-04-30T19:13:18Z,63.7,27.1,4.423,4.938,17.561
2026-05-01T00:14:18Z,2026-04-30T19:14:18Z,63.8,27.0,4.602,4.961,7.391
2026-05-01T00:15:18Z,2026-04-30T19:15:18Z,63.8,27.0,4.466,5.024,15.886
2026-05-01T00:16:18Z,2026-04-30T19:16:18Z,63.9,26.9,4.493,5.107,19.144
2026-05-01T00:17:18Z,2026-04-30T19:17:18Z,64.1,26.8,4.567,4.913,7.691
2026-05-01T00:18:18Z,2026-04-30T19:18:18Z,64.3,26.8,4.562,5.135,6.743
2026-05-01T00:19:18Z,2026-04-30T19:19:18Z,64.4,26.7,4.508,4.902,8.557
2026-05-01T00:20:18Z,2026-04-30T19:20:18Z,64.5,26.7,4.644,5.092,7.524
2026-05-01T00:21:18Z,2026-04-30T19:21:18Z,64.6,26.6,4.719,5.388,23.868
2026-05-01T00:22:19Z,2026-04-30T19:22:19Z,65.0,26.5,4.943,5.454,9.766
2026-05-01T00:23:19Z,2026-04-30T19:23:19Z,65.0,26.5,5.09,5.612,11.945
2026-05-01T00:24:19Z,2026-04-30T19:24:19Z,65.3,26.4,4.702,5.222,12.588
2026-05-01T00:25:19Z,2026-04-30T19:25:19Z,65.6,26.4,5.088,5.528,16.361
2026-05-01T00:26:19Z,2026-04-30T19:26:19Z,65.8,26.3,4.792,5.34,10.207
2026-05-01T00:27:19Z,2026-04-30T19:27:19Z,65.9,26.3,4.346,4.717,7.676
2026-05-01T00:28:19Z,2026-04-30T19:28:19Z,66.2,26.3,4.552,5.136,13.819
2026-05-01T00:29:19Z,2026-04-30T19:29:19Z,66.4,26.2,4.433,5.017,10.699
2026-05-01T00:30:19Z,2026-04-30T19:30:19Z,66.5,26.2,4.278,4.654,17.279
2026-05-01T00:31:21Z,2026-04-30T19:31:21Z,66.7,26.1,4.287,4.849,10.354
2026-05-01T00:32:21Z,2026-04-30T19:32:21Z,66.8,26.1,4.122,4.693,9.831
2026-05-01T00:33:21Z,2026-04-30T19:33:21Z,66.9,26.1,4.282,4.704,22.463
2026-05-01T00:34:21Z,2026-04-30T19:34:21Z,67.1,26.0,4.42,4.936,7.164
2026-05-01T00:35:21Z,2026-04-30T19:35:21Z,67.1,26.0,4.187,4.865,9.528
2026-05-01T00:36:21Z,2026-04-30T19:36:21Z,67.2,26.0,4.04,4.577,8.023
2026-05-01T00:37:21Z,2026-04-30T19:37:21Z,67.4,26.0,4.063,4.433,27.113
2026-05-01T00:38:21Z,2026-04-30T19:38:21Z,67.5,25.9,4.193,4.588,7.155
2026-05-01T00:39:21Z,2026-04-30T19:39:21Z,67.1,25.9,4.46,4.792,7.906
2026-05-01T00:40:21Z,2026-04-30T19:40:21Z,67.2,25.9,4.368,4.807,19.431
2026-05-01T00:41:21Z,2026-04-30T19:41:21Z,67.3,25.9,4.831,5.442,17.528
2026-05-01T00:42:21Z,2026-04-30T19:42:21Z,67.7,25.8,4.555,4.937,19.312
2026-05-01T00:43:21Z,2026-04-30T19:43:21Z,67.7,25.8,4.623,5.131,19.597
2026-05-01T00:44:21Z,2026-04-30T19:44:21Z,68.4,25.8,4.06,4.671,11.526
2026-05-01T00:45:21Z,2026-04-30T19:45:21Z,68.3,25.7,3.85,4.215,8.095
2026-05-01T00:46:21Z,2026-04-30T19:46:21Z,68.1,25.7,3.867,4.278,13.823
2026-05-01T00:47:21Z,2026-04-30T19:47:21Z,68.2,25.7,3.548,3.997,10.487
2026-05-01T00:48:21Z,2026-04-30T19:48:21Z,68.4,25.6,3.806,4.326,11.314
2026-05-01T00:49:21Z,2026-04-30T19:49:21Z,68.6,25.6,3.589,4.021,12.794
2026-05-01T00:50:22Z,2026-04-30T19:50:22Z,68.5,25.6,3.604,4.022,6.908
2026-05-01T00:51:22Z,2026-04-30T19:51:22Z,68.9,25.5,3.597,4.11,10.785
2026-05-01T00:52:22Z,2026-04-30T19:52:22Z,69.0,25.5,3.48,3.762,10.775
2026-05-01T00:53:22Z,2026-04-30T19:53:22Z,69.3,25.4,3.417,3.679,7.646
2026-05-01T00:54:22Z,2026-04-30T19:54:22Z,69.3,25.4,3.697,4.306,10.337
2026-05-01T00:55:22Z,2026-04-30T19:55:22Z,69.5,25.4,3.618,4.078,14.59
2026-05-01T00:56:22Z,2026-04-30T19:56:22Z,69.4,25.3,3.55,3.933,19.661
2026-05-01T00:57:22Z,2026-04-30T19:57:22Z,69.6,25.3,3.659,4.067,9.592
2026-05-01T00:58:22Z,2026-04-30T19:58:22Z,69.8,25.3,3.874,4.387,14.533
2026-05-01T00:59:22Z,2026-04-30T19:59:22Z,70.2,25.2,3.822,4.194,12.164
2026-05-01T01:00:22Z,2026-04-30T20:00:22Z,70.3,25.2,3.863,4.406,7.254
2026-05-01T01:01:22Z,2026-04-30T20:01:22Z,70.0,25.1,3.69,4.042,16.848
2026-05-01T01:02:22Z,2026-04-30T20:02:22Z,70.3,25.1,3.799,4.382,13.406
2026-05-01T01:03:22Z,2026-04-30T20:03:22Z,70.6,25.1,3.666,4.35,7.391
2026-05-01T01:04:22Z,2026-04-30T20:04:22Z,70.9,25.0,3.863,4.252,7.727
2026-05-01T01:05:22Z,2026-04-30T20:05:22Z,71.1,25.0,3.986,4.336,12.921
2026-05-01T01:06:22Z,2026-04-30T20:06:22Z,70.8,25.0,3.584,4.081,6.462
2026-05-01T01:07:22Z,2026-04-30T20:07:22Z,71.1,25.0,3.865,4.285,17.56
2026-05-01T01:08:22Z,2026-04-30T20:08:22Z,71.3,24.9,3.611,3.954,19.004
2026-05-01T01:09:22Z,2026-04-30T20:09:22Z,71.6,24.9,3.641,4.069,10.319
2026-05-01T01:10:22Z,2026-04-30T20:10:22Z,71.2,24.9,3.383,3.869,6.651
2026-05-01T01:11:22Z,2026-04-30T20:11:22Z,71.4,24.9,3.591,4.137,13.665
2026-05-01T01:12:22Z,2026-04-30T20:12:22Z,71.1,24.8,3.212,3.51,6.051
